ride_id,customer_id,driver_id,pickup_location,drop_location,pickup_time,drop_time,fare,ride_status,vehicle_id,customer_name,phone,city,driver_name,rating,status_y,payment_id,amount,payment_method,payment_date,payment_status,vehicle_type,vehicle_number,ride_location,hour,ride_duration
1,78,3,Shivajinagar,Baner,2024-02-01 00:00:00,2024-02-01 00:20:00,419.52,completed,1,Hemant Shirole,7134489564,Delhi,Dilip Deshmukh,3.84,active,1,175.8,UPI,2024-01-01,success,SUV,MH12AB1000,0 days 00:20:00,0,0 days 00:20:00
1,78,3,Shivajinagar,Baner,2024-02-01 00:00:00,2024-02-01 00:20:00,419.52,completed,1,Hemant Shirole,7134489564,Delhi,Dilip Deshmukh,3.84,active,32,325.18,UPI,2024-02-01,success,SUV,MH12AB1000,0 days 00:20:00,0,0 days 00:20:00
2,9,27,Wakad,Wakad,2024-02-01 01:00:00,2024-02-01 01:20:00,535.84,completed,2,Anjali More,7249467210,Bangalore,Qasim Pathan,4.04,active,2,447.57,Cash,2024-01-02,success,SUV,MH12AB1001,0 days 00:20:00,1,0 days 00:20:00
3,79,40,Hinjewadi,Shivajinagar,2024-02-01 02:00:00,2024-02-01 02:20:00,121.44,completed,3,Isha Deshpande,8931679275,Delhi,Datta Barve,4.25,active,3,386.47,Card,2024-01-03,success,Mini,MH12AB1002,0 days 00:20:00,2,0 days 00:20:00
4,7,20,Wakad,Shivajinagar,2024-02-01 03:00:00,2024-02-01 03:20:00,310.31,completed,4,Pooja Jadhav,7669991378,Bangalore,Jagdish Kadam,4.3,active,4,478.88,Card,2024-01-04,success,Auto,MH12AB1003,0 days 00:20:00,3,0 days 00:20:00
5,66,18,Kothrud,Wakad,2024-02-01 04:00:00,2024-02-01 04:20:00,311.3,completed,5,Trupti Barve,7744595490,Bangalore,Hanumant Pujari,3.76,active,5,198.84,UPI,2024-01-05,success,SUV,MH12AB1004,0 days 00:20:00,4,0 days 00:20:00
6,95,20,Wakad,Kothrud,2024-02-01 05:00:00,2024-02-01 05:20:00,526.11,completed,6,Bhavana Purohit,9607192251,Mumbai,Jagdish Kadam,4.3,active,6,298.74,Cash,2024-01-06,success,Mini,MH12AB1005,0 days 00:20:00,5,0 days 00:20:00
7,71,30,Kothrud,Wakad,2024-02-01 06:00:00,2024-02-01 06:20:00,260.78,cancelled,7,Ajinkya Chougule,8338788865,Bangalore,Tukaram Ghodke,4.45,active,7,307.53,Cash,2024-01-07,success,Auto,MH12AB1006,0 days 00:20:00,6,0 days 00:20:00
8,41,10,Hinjewadi,Wakad,2024-02-01 07:00:00,2024-02-01 07:20:00,547.96,completed,8,Rajesh Pingle,8642661739,Delhi,Vishal Patil,4.09,active,8,491.15,Card,2024-01-08,success,Sedan,MH12AB1007,0 days 00:20:00,7,0 days 00:20:00
9,75,23,Shivajinagar,Shivajinagar,2024-02-01 08:00:00,2024-02-01 08:20:00,353.98,completed,9,Esha Joshi,9348102761,Delhi,Madhav Nikam,4.59,active,9,83.91,Cash,2024-01-09,success,Mini,MH12AB1008,0 days 00:20:00,8,0 days 00:20:00
10,77,47,Hinjewadi,Shivajinagar,2024-02-01 09:00:00,,203.52,ongoing,10,Gauri Bapat,7793943861,Pune,Kiran Parab,4.22,active,10,187.56,Card,2024-01-10,success,SUV,MH12AB1009,,9,
11,77,3,Baner,Kothrud,2024-02-01 10:00:00,2024-02-01 10:20:00,218.71,completed,11,Gauri Bapat,7793943861,Pune,Dilip Deshmukh,3.84,active,11,135.91,Cash,2024-01-11,success,Sedan,MH12AB1010,0 days 00:20:00,10,0 days 00:20:00
12,26,50,Hinjewadi,Hinjewadi,2024-02-01 11:00:00,2024-02-01 11:20:00,505.36,completed,12,Amol Gokhale,8855189739,Pune,Nilesh Pargaonkar,4.42,active,12,170.81,Card,2024-01-12,pending,Sedan,MH12AB1011,0 days 00:20:00,11,0 days 00:20:00
13,8,9,Hinjewadi,Shivajinagar,2024-02-01 12:00:00,2024-02-01 12:20:00,413.63,completed,13,Rohit Chavan,7429389014,Bangalore,Nitin Bhosale,4.22,inactive,13,268.38,Cash,2024-01-13,success,Sedan,MH12AB1012,0 days 00:20:00,12,0 days 00:20:00
14,14,49,Baner,Hinjewadi,2024-02-01 13:00:00,2024-02-01 13:20:00,335.31,cancelled,14,Omkar Gawade,9795544706,Bangalore,Mangesh Tare,4.28,active,14,217.71,UPI,2024-01-14,success,Mini,MH12AB1013,0 days 00:20:00,13,0 days 00:20:00
15,45,19,Baner,Shivajinagar,2026-04-01 12:33:10,2024-02-01 14:20:00,551.78,booked,15,Vaibhav Mhatre,7199502978,Pune,Imran Momin,4.3,active,15,227.61,Cash,2024-01-15,processing,SUV,MH12AB1014,-790 days +01:46:50,12,-790 days +01:46:50
16,2,36,Hinjewadi,Kothrud,2024-02-01 15:00:00,2024-02-01 15:20:00,162.9,completed,16,Suresh Shinde,7787846414,Pune,Zakir Shaikh,3.97,active,16,429.9,Cash,2024-01-16,success,Sedan,MH12AB1015,0 days 00:20:00,15,0 days 00:20:00
17,42,40,Baner,Baner,2024-02-01 16:00:00,2024-02-01 16:20:00,341.05,completed,17,Sagar Gavhane,9208620086,Delhi,Datta Barve,4.25,active,17,468.51,UPI,2024-01-17,success,Auto,MH12AB1016,0 days 00:20:00,16,0 days 00:20:00
18,79,27,Hinjewadi,Shivajinagar,2024-02-01 17:00:00,2024-02-01 17:20:00,421.37,completed,18,Isha Deshpande,8931679275,Delhi,Qasim Pathan,4.04,active,18,81.69,Cash,2024-01-18,success,Sedan,MH12AB1017,0 days 00:20:00,17,0 days 00:20:00
19,57,42,Hinjewadi,Wakad,2024-02-01 18:00:00,2024-02-01 18:20:00,570.79,completed,19,Jagruti Mahajan,7991681409,Pune,Fakruddin Shaikh,3.67,inactive,19,144.01,UPI,2024-01-19,success,Sedan,MH12AB1018,0 days 00:20:00,18,0 days 00:20:00
20,88,28,Baner,Kothrud,2024-02-01 19:00:00,,88.05,ongoing,20,Siddharth Karve,8397283111,Bangalore,Ravindra Patankar,3.84,active,20,352.01,Cash,2024-01-20,refunded,Mini,MH12AB1019,,19,
21,64,43,Kothrud,Hinjewadi,2024-02-01 20:00:00,2024-02-01 20:20:00,224.41,cancelled,21,Rakesh Bhujbal,9126768636,Delhi,Gajanan Sathe,3.98,active,21,211.39,Card,2024-01-21,success,Mini,MH12AB1020,0 days 00:20:00,20,0 days 00:20:00
22,98,8,Baner,Shivajinagar,2024-02-01 21:00:00,2024-02-01 21:20:00,101.22,completed,22,Tanmay Barve,7605264936,Bangalore,Sanjay Gaikwad,4.53,active,22,164.37,Card,2024-01-22,success,SUV,MH12AB1021,0 days 00:20:00,21,0 days 00:20:00
23,4,42,Shivajinagar,Baner,2024-02-01 22:00:00,2024-02-01 22:20:00,499.86,completed,23,Priya Kulkarni,9563451924,Pune,Fakruddin Shaikh,3.67,inactive,23,182.88,Cash,2024-01-23,success,Auto,MH12AB1022,0 days 00:20:00,22,0 days 00:20:00
